연도,학제,대학원구분,학교명,학교상태,본분교,시도,시군구,설립,주야구분,주소,우편번호,전화번호,팩스번호,홈페이지,학위과정,대계열,중계열,소계열,학과코드,학과명,학과수_전체
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,인문계열,언어ㆍ문학,일본어ㆍ문학,U01010300003,일본어과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,인문계열,언어ㆍ문학,중국어ㆍ문학,U01010400002,중국어과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,인문계열,언어ㆍ문학,영미어ㆍ문학,U01010600018,영어영문학과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,인문계열,인문과학,교양인문학,U01020800121,기타모집단위,0 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,인문계열,인문과학,교양인문학,U01020800164,인문교양학부,0 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,사회계열,경영ㆍ경제,경영학,U02010100164,창업경영학과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,사회계열,경영ㆍ경제,경영학,U02010100568,융합경영학과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,사회계열,경영ㆍ경제,경제학,U02010200014,경제학과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,사회계열,경영ㆍ경제,금융ㆍ회계ㆍ세무학,U02010500007,경영회계학과,3 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,사회계열,경영ㆍ경제,금융ㆍ회계ㆍ세무학,U02010500054,회계학과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,사회계열,경영ㆍ경제,금융ㆍ회계ㆍ세무학,U02010500112,협동조합금융학과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,사회계열,경영ㆍ경제,금융ㆍ회계ㆍ세무학,U02010500223,회계세무부동산학과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,사회계열,사회과학,행정학,U02030700168,공공행정학과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,건축,건축ㆍ설비공학,U04010100003,건축공학과,3 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,건축,건축ㆍ설비공학,U04010100104,설비공학과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,건축,건축ㆍ설비공학,U04010100142,융합건설시스템학과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,건축,건축학,U04010200084,건축학과(5년제),1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,토목ㆍ도시,토목공학,U04020100022,건설환경공학과,3 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,토목ㆍ도시,도시공학,U04020200003,도시공학과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,기계ㆍ금속,기계공학,U04040100010,기계공학과,3 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,기계ㆍ금속,기계공학,U04040100215,융합기술학과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,기계ㆍ금속,기계공학,U04040100265,기계소재융합시스템공학과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,전기ㆍ전자,전기공학,U04050100006,전기공학과,3 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,전기ㆍ전자,전기공학,U04050100012,전기시스템공학과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,전기ㆍ전자,전자공학,U04050200028,전자공학과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,전기ㆍ전자,제어계측공학,U04050300051,전자·제어공학과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,소재ㆍ재료,신소재공학,U04070300011,신소재공학과,3 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,컴퓨터ㆍ통신,전산학ㆍ컴퓨터공학,U04080100061,컴퓨터공학과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,컴퓨터ㆍ통신,전산학ㆍ컴퓨터공학,U04080100370,인공지능소프트웨어학과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,컴퓨터ㆍ통신,전산학ㆍ컴퓨터공학,U04080100399,지능미디어공학과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,컴퓨터ㆍ통신,응용소프트웨어공학,U04080200213,IT시스템공학과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,컴퓨터ㆍ통신,응용소프트웨어공학,U04080200295,응용소프트웨어학과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,컴퓨터ㆍ통신,정보ㆍ통신공학,U04080300130,정보통신공학과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,컴퓨터ㆍ통신,정보ㆍ통신공학,U04080300619,모바일융합공학과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,산업,산업공학,U04090100010,산업경영공학과,3 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,산업,산업공학,U04090100129,생산경영공학과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,기타,기전공학,U04110100054,스마트제조응용공학과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,기타,응용공학,U04110200164,창의융합학과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,기타,교양공학,U04110300131,산학융합학부,0 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,자연계열,생물ㆍ화학ㆍ환경,생명과학,U05020100087,화학생명공학과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,자연계열,생물ㆍ화학ㆍ환경,환경학,U05020600206,통합물관리학과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,자연계열,수학ㆍ물리ㆍ천문ㆍ지리,교양자연과학,U05040600007,기초과학부,0 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,예체능계열,디자인,산업디자인,U07010200005,산업디자인학과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,예체능계열,디자인,시각디자인,U07010300008,시각디자인학과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,예체능계열,디자인,기타디자인,U07010500375,융합디자인학과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,예체능계열,디자인,기타디자인,U07010500413,생활디자인학과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,예체능계열,디자인,기타디자인,U07010500431,시각·영상디자인학과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,예체능계열,무용ㆍ체육,체육,U07030200057,스포츠건강과학과,2 